"m","merr","N","Nerr","L","Lerr","overdensityN","overdensityNerr","overdensityL","overdensityLerr","Rrms","Rrmserr","rsigma2","rsigma2err","sigma3","sigma3err"
40671428571428.6,0.0794871794871795,80.7380853360289,0.151221254319107,378157349261.063,0.205420435647769,92356316826175.9,0.226806347187332,62040635089268.8,0.345543203671106,494.033036782957,0.0729037022612046,82491958.0413196,0.164776588708452,68231266.1601028,0.228587241536639
82385714285714.3,0.136708860759494,160.059547086781,0.144660569489667,1307218985665.76,0.239429335311589,179277412865128,0.345336407767489,324099380612499,0.484471526185264,591.915989329287,0.0575802483550524,402557307.382927,0.201500607426411,560856121.440585,0.290142137210434
55062857142857.1,0.148674242424242,54.4774935334903,0.199280074112872,252967392032.085,0.333258449466513,69136882063543.2,0.648783027406409,63935830382077,0.725314214549433,481.176956153888,0.0983573101981909,51130863.0549181,0.264161521000953,34639168.1701468,0.372056992189959
71957142857142.9,0.338405797101449,96.6775192857077,0.226589100709768,363001089060.344,0.224251939580501,56609299476006.4,0.389573457984883,46740665939303.3,0.463968311924952,634.419810607158,0.0860506713849338,72910377.3199598,0.321096616866259,38959996.9968442,0.452141777551732
1.31999998e+14,0.218181819214876,223.188202454178,0.0850668340994513,1133400232715.46,0.131564332425716,296039438881899,0.125765074201959,265550359644139,0.159154477848955,595.35492952239,0.0305696497256156,422152452.925711,0.107861336568766,597090339.629211,0.168642954223879
101157142857143,0.252577319587629,178.466111454752,0.222437161687015,795765202351.708,0.289338605931909,218429190163875,0.533347524141586,211465968947072,0.55376245112849,556.308580958396,0.090115619987705,255548731.550523,0.321853423231653,311341458.862292,0.445373266612658
5.30000005e+14,0.141509436400854,285.457188056603,0.133392622615839,1335294349382.8,0.201562504119949,349099129286002,0.237374385757529,319632633560970,0.255467590935385,632.08704901982,0.0491709022556134,347722435.081173,0.160391901308563,408022140.993859,0.211452892052468
139742857142857,0.164179104477612,214.260741535719,0.146022814769512,1362529827069.1,0.202127037359281,173965550177056,0.229802165823198,182861772918908,0.293706527830008,660.361441725801,0.0457930757802429,292082055.011598,0.191309271430951,294160769.37616,0.2815867492093
7.1499998e+14,0.239160840256247,449.019411533962,0.129552448123077,1746449656450.08,0.143536721557941,620032939560649,0.230554435046558,751334809410873,0.233761867974982,611.217911744184,0.0430169468535242,1312637207.27099,0.136163984991712,3147189954.87554,0.201061339637791
93335714285714.3,0.191620111731844,186.432753728117,0.179801812925076,775380036048.937,0.184541809695021,283034677074206,0.367738318543343,279444426542978,0.375098585643906,499.688648890643,0.0918772173357175,160795171.744,0.255096325760045,182540938.854393,0.34335917961556
1.25000003e+15,0.1167999955968,500.161818536639,0.145348381759006,2595071958660.86,0.174240969976012,927843644896564,0.237832158399365,1095879425433890,0.246346503025796,657.549455544979,0.0429644024292312,1101580795.54829,0.211599019628073,2168362561.73482,0.316927161031714
2.66999997e+14,0.13932584051677,299.956902432234,0.0943826720292617,1369553687354.27,0.164519700234911,370698604145775,0.18558260326596,409939899008874,0.188386447424564,619.725383483912,0.0336642591300677,528604237.985792,0.122176943946619,787765638.993701,0.173829534875132
3.15000015e+14,0.134920634845049,261.298280890854,0.0932512381451962,1116502302476.97,0.145247197055782,257337352238260,0.265624843155765,260413119276374,0.282330627279284,580.266955610333,0.0378363573721617,417318629.44824,0.104356944400153,609901777.796782,0.15172787063864
4.74000006e+14,0.106540080929872,238.002415066808,0.140917776278816,1220968258752.58,0.223214189267794,285851878465061,0.197177100856323,293303618051438,0.215762546350149,627.03978463406,0.043567613760244,208727445.255783,0.162259611026766,192055474.373376,0.242979760180558
50578571428571.4,0.143298969072165,90.0695206967606,0.126355985357562,441145725483.007,0.246982870481636,128802974801605,0.271238264291141,102991118871152,0.376256147149483,508.497133120029,0.0560792534474812,133879961.325848,0.189067002916297,135095413.28249,0.290241320954693
50578571428571.4,0.111340206185567,85.1110802226277,0.151850244407786,395496689889.141,0.285074390227355,70990393516374.4,0.258558881861016,40845429562035.7,0.337903277253478,561.310770719743,0.0658625175397624,119289440.063197,0.156833825167993,97971089.2082527,0.226493677587993
3.6499999e+13,0.120273975897917,39.463744621056,0.226229104294905,138271055929.28,0.443768820670466,36945527994896.3,0.667377674486822,31664057432961.9,0.728741699796435,491.018209535451,0.0923643783008843,45670973.4304618,0.236694258544991,28367038.9413151,0.32205503379076
20857142857142.9,0.185,103.371557309041,0.163514635079727,617580193442.562,0.219133634102492,99321256300531.8,0.311745468723212,104174199279998,0.324660345170676,502.455347108364,0.0664540022621084,130438140.395882,0.171399012733056,132269797.735261,0.264791104844314
8.9899999e+13,0.0562847614714656,114.674542211456,0.140582942014446,465057352422.18,0.266421010034472,113554303836703,0.249833431801382,90363404909538.1,0.280632480506459,566.952989323693,0.057787165266455,193272665.915456,0.142731047141321,199037579.45392,0.218210109474165
83428571428571.4,0.169375,150.152291427204,0.169529226348102,904091231189.055,0.20079206125431,123345628052146,0.313334654907267,118451942765590,0.372163362774645,607.859198271377,0.0706118100256069,389157668.826738,0.213833806386136,512252280.31575,0.304921298794361
86557142857142.9,0.25421686746988,94.7708296878875,0.304935434756397,594155297028.155,0.518965926499601,79657788874356.2,0.595035717797877,75539286135379.7,0.631555701580385,541.36715943044,0.121521906789556,72201769.5345253,0.289887452148956,48706161.2013734,0.340632728658662
15434285714285.7,0.202702702702703,22.6076451522872,0.301816255323514,165784799554.589,0.355957728638041,18096212837625.9,0.980568308370512,13649023104416.3,1.12777059912555,451.080830097418,0.163953646991722,24645276.9597453,0.299012269469278,12770826.3047598,0.406883303187348
